2023-10-10 09:38:46,691 INFO     preparing training data ...
2023-10-10 15:14:40,268 INFO     ==> pid: 0, No.9000 iter, val mrr=0.06877700384028293
2023-10-10 15:20:15,972 INFO     ==> pid: 0, No.10000 iter, val mrr=0.06929339001706997
2023-10-10 15:25:50,502 INFO     ==> pid: 0, No.11000 iter, val mrr=0.07113012362617561
2023-10-10 15:31:20,820 INFO     ==> pid: 0, No.12000 iter, val mrr=0.08251848931824307
2023-10-10 15:31:46,848 INFO     ==> pid: 0, No.12000 iter, test mrr=0.08413986355094043, hits@1=0.0264, hits@3=0.0658, hits@10=0.1819
2023-10-10 15:37:34,176 INFO     ==> pid: 0, No.13000 iter, val mrr=0.08822101212760923
2023-10-10 15:38:01,473 INFO     ==> pid: 0, No.13000 iter, test mrr=0.08974924308747476, hits@1=0.0278, hits@3=0.0710, hits@10=0.2012
2023-10-10 15:43:40,071 INFO     ==> pid: 0, No.14000 iter, val mrr=0.09005306875371093
2023-10-10 15:44:06,134 INFO     ==> pid: 0, No.14000 iter, test mrr=0.09125680385501528, hits@1=0.0283, hits@3=0.0727, hits@10=0.2042
2023-10-10 15:49:50,269 INFO     ==> pid: 0, No.15000 iter, val mrr=0.09312348027224249
2023-10-10 15:50:13,260 INFO     ==> pid: 0, No.15000 iter, test mrr=0.09449829878996123, hits@1=0.0297, hits@3=0.0771, hits@10=0.2113
2023-10-10 15:55:57,252 INFO     ==> pid: 0, No.16000 iter, val mrr=0.09740999983032937
2023-10-10 15:56:22,049 INFO     ==> pid: 0, No.16000 iter, test mrr=0.09933772231998221, hits@1=0.0313, hits@3=0.0814, hits@10=0.2277
2023-10-10 16:01:54,833 INFO     ==> pid: 0, No.17000 iter, val mrr=0.09210057486796075
2023-10-10 16:07:25,937 INFO     ==> pid: 0, No.18000 iter, val mrr=0.09551512855432992
2023-10-10 16:12:57,664 INFO     ==> pid: 0, No.19000 iter, val mrr=0.10266686884317316
2023-10-10 16:13:23,816 INFO     ==> pid: 0, No.19000 iter, test mrr=0.10428777015399733, hits@1=0.0357, hits@3=0.0906, hits@10=0.2312
2023-10-10 16:18:49,045 INFO     ==> pid: 0, No.20000 iter, val mrr=0.10323581021254188
2023-10-10 16:19:11,863 INFO     ==> pid: 0, No.20000 iter, test mrr=0.10439354607522472, hits@1=0.0352, hits@3=0.0890, hits@10=0.2360
2023-10-10 16:24:39,070 INFO     ==> pid: 0, No.21000 iter, val mrr=0.10412564141084808
2023-10-10 16:25:01,562 INFO     ==> pid: 0, No.21000 iter, test mrr=0.1056735606291433, hits@1=0.0368, hits@3=0.0889, hits@10=0.2368
2023-10-10 16:30:17,631 INFO     ==> pid: 0, No.22000 iter, val mrr=0.10677083121381353
2023-10-10 16:30:41,703 INFO     ==> pid: 0, No.22000 iter, test mrr=0.1080893665415624, hits@1=0.0370, hits@3=0.0933, hits@10=0.2427
2023-10-10 16:35:51,384 INFO     ==> pid: 0, No.23000 iter, val mrr=0.09739949141493338
2023-10-10 16:40:44,536 INFO     ==> pid: 0, No.24000 iter, val mrr=0.10375673847570048
2023-10-10 16:45:23,273 INFO     ==> pid: 0, No.25000 iter, val mrr=0.10859746013070824
2023-10-10 16:45:40,447 INFO     ==> pid: 0, No.25000 iter, test mrr=0.11025429147914811, hits@1=0.0403, hits@3=0.0969, hits@10=0.2444
2023-10-10 16:50:11,851 INFO     ==> pid: 0, No.26000 iter, val mrr=0.11130552020296232
2023-10-10 16:50:28,852 INFO     ==> pid: 0, No.26000 iter, test mrr=0.11258981853452307, hits@1=0.0404, hits@3=0.0988, hits@10=0.2519
